,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
494,30.0,30.0,100.0,30.0,20.0
495,40.0,30.0,70.0,30.0,30.0
496,30.0,30.0,70.0,60.0,40.0
497,30.0,30.0,60.0,60.0,60.0
498,30.0,30.0,60.0,50.0,80.0
499,30.0,20.0,50.0,60.0,50.0
500,10.0,20.0,50.0,50.0,40.0
501,20.0,20.0,30.0,30.0,20.0
502,20.0,20.0,40.0,0.0,10.0
503,10.0,10.0,30.0,10.0,10.0
504,10.0,20.0,30.0,10.0,10.0
505,20.0,10.0,30.0,0.0,0.0
506,10.0,10.0,30.0,10.0,10.0
507,10.0,20.0,30.0,10.0,10.0
508,20.0,10.0,30.0,10.0,0.0
509,10.0,10.0,30.0,0.0,10.0
510,10.0,10.0,40.0,10.0,10.0
511,0.0,20.0,30.0,0.0,10.0
512,10.0,20.0,60.0,20.0,10.0
513,20.0,30.0,90.0,40.0,20.0
514,10.0,20.0,110.0,40.0,0.0
515,10.0,40.0,130.0,40.0,10.0
516,10.0,30.0,140.0,50.0,0.0
517,10.0,30.0,130.0,40.0,20.0
518,20.0,30.0,100.0,50.0,20.0
519,20.0,30.0,70.0,50.0,30.0
520,30.0,30.0,80.0,50.0,40.0
521,20.0,30.0,60.0,50.0,50.0
522,20.0,20.0,60.0,60.0,90.0
523,20.0,20.0,40.0,50.0,70.0
524,20.0,10.0,50.0,60.0,50.0
525,20.0,10.0,30.0,20.0,30.0
526,10.0,10.0,30.0,10.0,20.0
527,20.0,20.0,30.0,10.0,0.0
528,10.0,10.0,30.0,0.0,10.0
529,10.0,10.0,30.0,10.0,10.0
530,10.0,10.0,30.0,10.0,10.0
531,20.0,10.0,20.0,10.0,0.0
532,10.0,10.0,30.0,0.0,10.0
533,10.0,20.0,30.0,10.0,10.0
534,10.0,10.0,30.0,0.0,10.0
535,0.0,10.0,40.0,10.0,20.0
536,10.0,10.0,30.0,20.0,20.0
537,0.0,10.0,30.0,40.0,30.0
538,0.0,20.0,30.0,40.0,30.0
539,0.0,10.0,30.0,40.0,30.0
540,0.0,20.0,40.0,40.0,30.0
541,0.0,20.0,30.0,40.0,30.0
542,0.0,20.0,40.0,40.0,20.0
543,0.0,20.0,40.0,40.0,30.0
544,10.0,20.0,40.0,40.0,30.0
545,10.0,20.0,40.0,10.0,40.0
546,10.0,10.0,40.0,10.0,40.0
547,10.0,10.0,40.0,0.0,50.0
548,20.0,20.0,30.0,10.0,50.0
549,10.0,10.0,30.0,10.0,10.0
550,10.0,10.0,30.0,10.0,10.0
551,20.0,10.0,30.0,10.0,10.0
552,10.0,10.0,30.0,0.0,10.0
553,10.0,10.0,20.0,10.0,0.0
554,10.0,20.0,30.0,10.0,10.0
555,20.0,10.0,30.0,0.0,10.0
556,10.0,10.0,30.0,10.0,10.0
557,10.0,10.0,30.0,10.0,0.0
558,10.0,10.0,30.0,0.0,10.0
559,10.0,10.0,30.0,10.0,0.0
560,10.0,10.0,40.0,20.0,20.0
561,0.0,20.0,30.0,50.0,30.0
562,0.0,10.0,40.0,50.0,30.0
563,10.0,10.0,30.0,40.0,30.0
564,0.0,10.0,30.0,50.0,20.0
565,0.0,20.0,40.0,50.0,30.0
566,10.0,10.0,30.0,50.0,30.0
567,10.0,10.0,40.0,50.0,20.0
568,10.0,10.0,40.0,50.0,20.0
569,10.0,10.0,30.0,0.0,20.0
570,10.0,20.0,40.0,10.0,30.0
571,20.0,10.0,40.0,10.0,20.0
572,10.0,10.0,30.0,10.0,10.0
573,10.0,10.0,30.0,10.0,10.0
574,20.0,10.0,30.0,0.0,0.0
575,10.0,10.0,30.0,10.0,10.0
576,10.0,20.0,30.0,10.0,10.0
577,20.0,10.0,20.0,10.0,10.0
578,10.0,10.0,30.0,0.0,0.0
579,10.0,10.0,30.0,10.0,10.0
580,20.0,10.0,30.0,10.0,10.0
581,10.0,10.0,30.0,0.0,0.0
582,10.0,20.0,40.0,30.0,10.0
583,0.0,10.0,30.0,30.0,0.0
584,10.0,20.0,50.0,40.0,10.0
585,20.0,20.0,90.0,50.0,0.0
586,10.0,30.0,120.0,40.0,10.0
587,10.0,20.0,130.0,50.0,0.0
588,0.0,30.0,160.0,40.0,0.0
589,20.0,30.0,120.0,50.0,0.0
590,10.0,30.0,100.0,50.0,10.0
591,30.0,30.0,70.0,50.0,30.0
592,20.0,30.0,80.0,50.0,40.0
593,20.0,30.0,60.0,60.0,40.0
594,30.0,30.0,70.0,50.0,60.0
595,20.0,20.0,50.0,60.0,60.0
596,20.0,10.0,50.0,50.0,40.0
597,10.0,20.0,30.0,30.0,30.0
598,20.0,10.0,30.0,0.0,10.0
599,10.0,10.0,30.0,10.0,10.0
600,10.0,10.0,30.0,10.0,10.0
601,20.0,20.0,30.0,0.0,0.0
602,10.0,10.0,30.0,10.0,10.0
603,10.0,10.0,30.0,10.0,10.0
604,20.0,20.0,30.0,10.0,0.0
605,10.0,10.0,40.0,0.0,10.0
606,10.0,10.0,30.0,10.0,10.0
607,0.0,10.0,40.0,0.0,0.0
608,20.0,30.0,60.0,40.0,0.0
609,30.0,20.0,100.0,50.0,10.0
610,20.0,30.0,150.0,60.0,20.0
611,30.0,30.0,150.0,50.0,40.0
612,20.0,30.0,150.0,60.0,50.0
613,30.0,30.0,130.0,50.0,30.0
614,20.0,30.0,100.0,60.0,40.0
615,30.0,30.0,70.0,50.0,50.0
616,30.0,30.0,70.0,60.0,60.0
617,20.0,20.0,70.0,60.0,70.0
618,20.0,30.0,60.0,50.0,90.0
619,20.0,30.0,60.0,60.0,90.0
620,20.0,10.0,50.0,50.0,60.0
621,20.0,20.0,30.0,30.0,50.0
622,10.0,20.0,40.0,10.0,50.0
623,10.0,20.0,30.0,10.0,30.0
624,20.0,20.0,,,
625,10.0,10.0,,,
626,10.0,20.0,,,
